Member State (States/Entities) ,Reproductive Health Act,General Medical Health Act,Constitution,Criminal/ Penal Code,Civil Code,Ministerial Orders/ Decrees,Case Law,Health Regulation or Clinical Guideline,EML/ Registered List,Medical Ethics Code,Document relating to Funding,Abortion Specific Law,Law on Medical Practitioners,Law on Health Care Services,Other
Afghanistan,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Albania,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Algeria,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Andorra,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Angola,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
Antigua and Barbuda,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
Argentina,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
Armenia,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
Australia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Australia - Capital Territory,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1
Australia - New South Wales,x,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Australia - Northern Territory,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Australia - Queensland,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
Australia - South Australia,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Australia - Tasmania,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
Australia - Victoria,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
Australia - Western Australia,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
Austria,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1
Azerbaijan,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
Bangladesh,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Barbados,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Belarus,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Belgium,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Belize,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
Benin,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Bhutan,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Bolivia,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina - Federation of Bosnia and Herzegovina,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina - Republika Srpska,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Botswana,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Brazil,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
Brunei Darussalam,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Bulgaria,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
Burkina Faso,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0
Burundi,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Cabo Verde,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1
Cambodia,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Cameroon,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Canada,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Canada - Alberta,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1
Canada - British Columbia,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1
Canada - Manitoba,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
Canada - New Brunswick,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1
Canada - Newfoundland and Labrador,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Canada - Northwest Territories,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Canada - Nova Scotia,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Canada - Nunavut,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Canada - Ontario,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
Canada - Prince Edward Island,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Canada - Quebec,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1
Canada - Saskatchewan,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Canada - Yukon,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Central African Republic,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Chad,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Chile,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
China,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0
Colombia,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
Comoros,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Cook Islands,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Costa Rica,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Côte d’Ivoire,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
Croatia,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
Cuba,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Cyprus,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Czechia,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
Democratic People’s Republic of Korea,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Democratic Republic of the Congo,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
Denmark,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Djibouti,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Dominica,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Dominican Republic,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Ecuador,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
Egypt,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
El Salvador,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eritrea,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Estonia,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0
Ethiopia ,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Fiji,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Finland,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0
France,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
Gabon,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Gambia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
Germany,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
Ghana,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1
Greece,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
Grenada,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Guatemala,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Guinea,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
Guinea-Bissau,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Guyana,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Haiti,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Holy See,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Honduras,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Hong Kong,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Hungary,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
Iceland,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
India,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
India - Jammu and Kashmir,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
Indonesia,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Iran (Islamic Republic of),0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Iraq,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Ireland,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
Israel ,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
Italy,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Jamaica,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Japan,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0
Jordan,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Kazakhstan,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Kenya,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1
Kiribati,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Kuwait,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Kyrgyzstan,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0
Lao People's Democratic Republic,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Latvia,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0
Lebanon,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Lesotho,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Liberia,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Libya,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Liechtenstein,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Lithuania,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1
Luxembourg,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
Madagascar,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Malawi,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Malaysia,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
Maldives,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mali,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
Malta,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Marshall Islands,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Mauritania,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Mauritius,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico - Aguascalientes,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Baja California,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Baja California Sur,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Campeche,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Chiapas,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Chihuahua,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Coahuila,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Colima,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Durango,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Estado de Mexico,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Guanajuato,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Guerrero,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Hidalgo,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Jalisco,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Mexico City,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Michoacan,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Morelos,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Nayarit,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Nuevo Leon,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Oaxaca,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
Mexico - Puebla,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Queretaro,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Quintana Roo,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - San Luis Potosi,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Sinaloa,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Sonora,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Tabasco,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Tamaulipas,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Tlaxcala,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Veracruz ,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Yucatan,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Mexico - Zacatecas,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Micronesia (Federated States of),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Monaco,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
Montenegro,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Morocco,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
Mozambique,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
Myanmar ,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Nauru,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Nepal,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Netherlands,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1
New Zealand,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
Nicaragua,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Niger,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Nigeria - Northern Nigeria,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Nigeria - Southern Nigeria,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Norway,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1
Oman,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
Pakistan,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Pakistan - Punjab,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Palau,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Panama,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0
Papua New Guinea,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1
Paraguay,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Peru,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Philippines,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Poland,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
Portugal,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
Qatar,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Republic of Korea,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Republic of Moldova,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Romania,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
Russian Federation,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
Rwanda,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1
Saint Kitts and Nevis,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Saint Lucia,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Samoa,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
San Marino,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Senegal,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Serbia,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
Seychelles,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
Sierra Leone,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Singapore,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Slovakia,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0
Slovenia,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
Solomon Islands,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Somalia,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
South Africa,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
South Sudan,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Spain,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
Sri Lanka,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Sudan,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Suriname,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Swaziland,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Sweden,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Switzerland,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Switzerland - Aargau,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Appenzell Ausserrhoden,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Appenzell Innerrhoden,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Basel Landschaft,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Basel Stadt,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Bern,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Fribourg,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
Switzerland - Geneve,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Graubünden,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Jura,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Switzerland - Luzern,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Neuchatel,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Nidwalden,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Switzerland - Obwalden,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Schaffhausen,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Schwyz,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Solothurn,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - St Gallen,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Thurgau,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Ticino,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Uri,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Valais,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Vaud,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Switzerland - Zug,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
Switzerland - Zürich,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
Syrian Arab Republic,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Tajikistan,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0
The former Yugoslav Republic of Macedonia,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Timor-Leste,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Togo,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Tonga,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Tunisia,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Turkey,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
Turkmenistan,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
Uganda,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
United Kingdom of Great Britain and Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom - England, Scotland and Wales",0,0,0,1,0,1,1,0,1,0,0,1,0,0,1
United Kingdom - Guernsey,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
United Kingdom - Isle of Man,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
United Kingdom - Jersey,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
United Kingdom - Northern Ireland,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
Ukraine,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
United Arab Emirates,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
United Republic of Tanzania,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
United States of America,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
Uruguay,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1
Uzbekistan,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
Vanuatu,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Venezuela (Bolivarian Republic of),0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Vietnam,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
Yemen,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
Zambia,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Zimbabwe,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
